"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-10,114,monthly,439352,2019-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-10,172,monthly,451043,2019-10-01
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-11,137,monthly,399817,2019-11-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-11,134,monthly,370021,2019-11-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-11,129,monthly,391225,2019-11-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-11,132,monthly,436344,2019-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-11,186,monthly,448240,2019-11-01
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-12,128,monthly,405216,2019-12-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-12,111,monthly,366343,2019-12-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-12,142,monthly,389334,2019-12-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-12,91,monthly,442257,2019-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-12,164,monthly,444166,2019-12-01
