"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Adur,http://landregistry.data.gov.uk/id/region/adur,E07000223,2019-11,85,monthly,316071,2019-11-01
Arun,http://landregistry.data.gov.uk/id/region/arun,E07000224,2019-11,275,monthly,286154,2019-11-01
Chichester,http://landregistry.data.gov.uk/id/region/chichester,E07000225,2019-11,164,monthly,379431,2019-11-01
Horsham,http://landregistry.data.gov.uk/id/region/horsham,E07000227,2019-11,216,monthly,376220,2019-11-01
Mid Sussex,http://landregistry.data.gov.uk/id/region/mid-sussex,E07000228,2019-11,249,monthly,370088,2019-11-01
Adur,http://landregistry.data.gov.uk/id/region/adur,E07000223,2019-12,90,monthly,320044,2019-12-01
Arun,http://landregistry.data.gov.uk/id/region/arun,E07000224,2019-12,258,monthly,283076,2019-12-01
Chichester,http://landregistry.data.gov.uk/id/region/chichester,E07000225,2019-12,187,monthly,377752,2019-12-01
Horsham,http://landregistry.data.gov.uk/id/region/horsham,E07000227,2019-12,233,monthly,378963,2019-12-01
Mid Sussex,http://landregistry.data.gov.uk/id/region/mid-sussex,E07000228,2019-12,276,monthly,370221,2019-12-01
