URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
126056,West Sussex,938,3352,9383352,"St Wilfrid's CofE Primary School, Haywards Heath",Eastern Road,,,Haywards Heath,RH16 3NL,Open,,,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Church of England,Not applicable
126057,West Sussex,938,3353,9383353,St Giles CofE Primary School,Church Lane,Horsted Keynes,,Haywards Heath,RH17 7AY,Open,,,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Church of England,Not applicable
126059,West Sussex,938,3355,9383355,"St Joseph's Catholic Primary School, Haywards Heath",Hazelgrove Road,,,Haywards Heath,RH16 3PQ,Closed,,31-08-2020,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Not applicable
126060,West Sussex,938,3356,9383356,St Peter's Catholic Primary School,Chapmans Lane,,,East Grinstead,RH19 1JB,Open,,,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Not applicable
126061,West Sussex,938,3357,9383357,"St Wilfrid's Catholic Primary School, Burgess Hill",School Close,Queen Elizabeth Avenue,,Burgess Hill,RH15 9RJ,Open,,,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Not applicable
126064,West Sussex,938,4002,9384002,Tanbridge House School,Farthings Hill,Guildford Road,,Horsham,RH12 1SR,Open,,,Maintained school,Community school,0,1,0,11,16,Mixed,Does not apply,Non-selective
126065,West Sussex,938,4009,9384009,The Forest School,Comptons Lane,,,Horsham,RH13 5NT,Open,,,Maintained school,Community school,0,1,0,11,16,Mixed,Does not apply,Non-selective
126066,West Sussex,938,4010,9384010,Millais School,Depot Road,,,Horsham,RH13 5HR,Open,,,Maintained school,Community school,0,1,0,11,16,Girls,Does not apply,Non-selective
126068,West Sussex,938,4025,9384025,"Weald School, The",Station Road,,,Billingshurst,RH14 9RY,Open,,,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Non-selective
126069,West Sussex,938,4028,9384028,Bourne Community College,Park Road,Southbourne,,Emsworth,PO10 8PJ,Open,,,Maintained school,Foundation school,0,1,0,11,16,Mixed,None,Non-selective
126071,West Sussex,938,4030,9384030,Ifield Community College,Crawley Avenue,Ifield,,Crawley,RH11 0DB,Open,,,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Non-selective
126080,West Sussex,938,4059,9384059,Felpham Community College,Felpham Way,Felpham,,Bognor Regis,PO22 8EL,Open,,,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Non-selective
126081,West Sussex,938,4060,9384060,The Angmering School,Station Road,Angmering,,Littlehampton,BN16 4HH,Open,,,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Non-selective
126085,West Sussex,938,4102,9384102,Oathall Community College,Appledore Gardens,Lindfield,,Haywards Heath,RH16 2AQ,Open,,,Maintained school,Community school,0,1,0,11,16,Mixed,Does not apply,Non-selective
126087,West Sussex,938,4105,9384105,Downlands Community School,Dale Avenue,,,Hassocks,BN6 8LP,Open,,,Maintained school,Community school,0,1,0,11,16,Mixed,Does not apply,Non-selective
126088,West Sussex,938,4106,9384106,Imberhorne School,Imberhorne Lane,,,East Grinstead,RH19 1QY,Open,,,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Non-selective
126089,West Sussex,938,4107,9384107,Sackville School,Lewes Road,,,East Grinstead,RH19 3TY,Open,,,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Non-selective
126092,West Sussex,938,4501,9384501,Steyning Grammar School,Shooting Field,,,Steyning,BN44 3RX,Closed,,30-11-2020,Maintained school,Voluntary controlled school,0,1,1,11,18,Mixed,Church of England,Non-selective
126093,West Sussex,938,4502,9384502,"Davison Church of England High School for Girls, Worthing",Selborne Road,,,Worthing,BN11 2JX,Open,,,Maintained school,Voluntary controlled school,0,1,0,11,16,Girls,Church of England,Non-selective
126094,West Sussex,938,4601,9384601,St Andrew's CofE High School,Sackville Road,,,Worthing,BN14 8BG,Open,,,Maintained school,Voluntary aided school,0,1,0,11,16,Mixed,Church of England,Non-selective
126095,West Sussex,938,4602,9384602,"St Wilfrid's Catholic Comprehensive School, Crawley",St Wilfrid's Way,,,Crawley,RH11 8PG,Open,,,Maintained school,Voluntary aided school,0,1,1,11,18,Mixed,Roman Catholic,Non-selective
126096,West Sussex,938,4603,9384603,St Oscar Romero Catholic School,Goring Street,Goring-By-Sea,,Worthing,BN12 5AF,Open,,,Maintained school,Voluntary aided school,0,1,0,11,16,Mixed,Roman Catholic,Non-selective
126098,West Sussex,938,4606,9384606,"Holy Trinity CofE Secondary School, Crawley",Buckswood Drive,Gossops Green,,Crawley,RH11 8JE,Open,,,Maintained school,Voluntary aided school,0,1,1,11,18,Mixed,Church of England,Non-selective
126101,West Sussex,938,4610,9384610,St Paul's Catholic College,Jane Murray Way,,,Burgess Hill,RH15 8GA,"Open, but proposed to close",,30-11-2021,Maintained school,Voluntary aided school,0,1,1,11,18,Mixed,Roman Catholic,Non-selective
126104,West Sussex,938,6005,9386005,Oakwood School,Oakwood,,,Chichester,PO18 9AN,Open,,,Independent school,Other independent school,1,0,0,2,11,Mixed,Church of England,Non-selective
126105,West Sussex,938,6007,9386007,Westbourne House School,Coach Road,Shopwyke,,Chichester,PO20 2BH,Open,,,Independent school,Other independent school,1,1,0,2,14,Mixed,None,Non-selective
126106,West Sussex,938,6008,9386008,Cottesmore School,Buchan Hill,Pease Pottage,,Crawley,RH11 9AU,Open,,,Independent school,Other independent school,1,1,0,4,13,Mixed,None,Not applicable
126107,West Sussex,938,6011,9386011,Christ's Hospital,,,,Horsham,RH13 0LJ,Open,,,Independent school,Other independent school,0,1,1,11,18,Mixed,None,Selective
126108,West Sussex,938,6013,9386013,Lancing College,,,,Lancing,BN15 0RW,Open,,,Independent school,Other independent school,0,1,1,12,18,Mixed,Church of England,Not applicable
126109,West Sussex,938,6015,9386015,Dorset House School,The Manor,Church Lane,Bury,Pulborough,RH20 1PB,Open,,,Independent school,Other independent school,1,1,0,4,13,Mixed,None,Non-selective
126110,West Sussex,938,6023,9386023,Seaford College,Lavington Park,Petworth,West Sussex,,GU28 0NB,Open,,,Independent school,Other independent school,1,1,1,7,18,Mixed,None,Non-selective
126111,West Sussex,938,6026,9386026,Pennthorpe School,Church Street,Rudgwick,,Horsham,RH12 3HJ,Open,,,Independent school,Other independent school,1,1,0,2,13,Mixed,None,Not applicable
126112,West Sussex,938,6027,9386027,Shoreham College,St Julian's Lane,Shoreham by Sea,West Sussex,,BN43 6YW,Open,,,Independent school,Other independent school,1,1,0,2,16,Mixed,None,Non-selective
126113,West Sussex,938,6028,9386028,Windlesham House School,London Road,Washington,,Pulborough,RH20 4AY,Open,,,Independent school,Other independent school,1,1,0,3,14,Mixed,Anglican,Non-selective
126114,West Sussex,938,6029,9386029,Lancing College Preparatory School at Worthing,Broadwater Road,,,Worthing,BN14 8HU,Open,,,Independent school,Other independent school,1,1,0,2,13,Mixed,None,Not applicable
126115,West Sussex,938,6030,9386030,Our Lady of Sion School,Gratwicke Road,Worthing,,,BN11 4BL,Open,,,Independent school,Other independent school,1,1,1,3,19,Mixed,Roman Catholic,Not applicable
126118,West Sussex,938,6072,9386072,Conifers School,Egmont Road,,,Midhurst,GU29 9BG,Open,,,Independent school,Other independent school,1,1,0,2,13,Mixed,None,Non-selective
126119,West Sussex,938,6094,9386094,Slindon College,Top Road,Slindon,,Arundel,BN18 0RH,Open,,,Independent school,Other independent school,1,1,1,8,18,Boys,Church of England,Non-selective
126121,West Sussex,938,6125,9386125,Sompting Abbotts School,Church Lane,Sompting,,Lancing,BN15 0AZ,Open,,,Independent school,Other independent school,1,1,0,2,13,Mixed,Church of England,Not applicable
126122,West Sussex,938,6128,9386128,The Prebendal School,52-55 West Street,,,Chichester,PO19 1RT,Open,,,Independent school,Other independent school,1,1,0,2,14,Mixed,Church of England/Christian,Non-selective
126124,West Sussex,938,6138,9386138,The Towers Convent School,The Towers,Henfield Road,,Upper Beeding,BN44 3TF,Closed,,03-07-2020,Independent school,Other independent school,1,1,0,4,16,Mixed,Roman Catholic,Non-selective
126126,West Sussex,938,6144,9386144,Farlington School,Strood Park,,,Horsham,RH12 3PN,Open,,,Independent school,Other independent school,1,1,1,4,18,Mixed,Church of England,Selective
126130,West Sussex,938,6174,9386174,Great Ballard School,Eartham,,,Chichester,PO18 0LR,Open,,,Independent school,Other independent school,1,1,0,2,16,Mixed,None,Not applicable
126132,West Sussex,938,6188,9386188,Rikkyo School-in-England,Guildford Road,Rudgwick,,Horsham,RH12 3BE,Open,,,Independent school,Other independent school,1,1,1,10,18,Mixed,Anglican/Christian,Not applicable
126133,West Sussex,938,6200,9386200,Ardingly College,College Road,Haywards Heath,West Sussex,Haywards Heath,RH17 6SQ,Open,,,Independent school,Other independent school,1,1,1,2,18,Mixed,Church of England,Not applicable
126134,West Sussex,938,6201,9386201,Burgess Hill Girls,Keymer Road,,,Burgess Hill,RH15 0EG,Open,,,Independent school,Other independent school,1,1,1,2,19,Girls,None,Not applicable
126135,West Sussex,938,6203,9386203,Great Walstead School,East Mascalls Lane,Lindfield,,Haywards Heath,RH16 2QL,Open,,,Independent school,Other independent school,1,1,0,2,13,Mixed,Christian,Non-selective
126136,West Sussex,938,6206,9386206,Hurstpierpoint College,College Lane,Hurstpierpoint,,Hassocks,BN6 9JS,Open,,,Independent school,Other independent school,1,1,1,4,19,Mixed,Anglican,Selective
126137,West Sussex,938,6208,9386208,Worth School,Paddockhurst Road,Turners Hill,West Sussex,Crawley,RH10 4SD,Open,,,Independent school,Other independent school,0,1,1,11,19,Mixed,Roman Catholic,Not applicable
126139,West Sussex,938,6217,9386217,Farney Close School,Bolney Court,Bolney,Crossways,Haywards Heath,RH17 5RD,Open,,,Special school,Other independent special school,1,1,1,9,18,Mixed,None,Not applicable
126141,West Sussex,938,6219,9386219,Philpots Manor School,,,,West Hoathly,RH19 4PR,Open,,,Special school,Other independent special school,1,1,1,7,19,Mixed,None,Not applicable
126143,West Sussex,938,6223,9386223,Handcross Park School,London Road,Handcross,West Sussex,Haywards Heath,RH17 6HF,Open,,,Independent school,Other independent school,1,1,0,2,14,Mixed,None,Not applicable
126149,West Sussex,938,6249,9386249,Central Education Ltd,,1-3 Barclay Court,Market Place,Haywards Heath,RH16 1DB,Open,,,Special school,Other independent special school,0,1,0,11,16,Mixed,None,Non-selective
126150,West Sussex,938,6251,9386251,Brambletye School,Brambletye School,Lewes Road,,East Grinstead,RH19 3PD,Open,,,Independent school,Other independent school,1,1,0,2,14,Mixed,Church of England,Non-selective
126151,West Sussex,938,6252,9386252,Highfield and Brookham Schools Ltd,Highfield Lane,Liphook,Hampshire,,GU30 7LQ,Open,,,Independent school,Other independent school,1,1,0,2,13,Mixed,None,Not applicable
126154,West Sussex,938,7003,9387003,Muntham House School,Barns Green,,,Horsham,RH13 0NJ,Open,,,Special school,Non-maintained special school,1,1,1,5,18,Boys,Does not apply,Not applicable
126155,West Sussex,938,7004,9387004,St Anthony's School,Woodlands Lane,,,Chichester,PO19 5PA,Open,,,Special school,Community special school,1,1,0,4,16,Mixed,Does not apply,Not applicable
126156,West Sussex,938,7005,9387005,"Littlegreen School, Compton",Compton,,,Chichester,PO18 9NW,Closed,,31-12-2018,Special school,Community special school,1,1,0,7,16,Boys,Does not apply,Not applicable
126157,West Sussex,938,7006,9387006,Manor Green College,Lady Margaret Road,Ifield,,Crawley,RH11 0DX,Open,,,Special school,Community special school,0,1,1,11,19,Mixed,Does not apply,Not applicable
126159,West Sussex,938,7008,9387008,Palatine Primary School,Palatine Road,,,Worthing,BN12 6JP,Open,,,Special school,Community special school,1,0,0,4,11,Mixed,Does not apply,Not applicable
126160,West Sussex,938,7009,9387009,"Queen Elizabeth II Silver Jubilee School, Horsham",Comptons Lane,,,Horsham,RH13 5NW,Open,,,Special school,Community special school,1,1,1,2,19,Mixed,Does not apply,Not applicable
126161,West Sussex,938,7010,9387010,Oak Grove College,The Boulevard,,,Worthing,BN13 1JX,Open,,,Special school,Community special school,0,1,1,11,19,Mixed,Does not apply,Not applicable
126162,West Sussex,938,7011,9387011,Manor Green Primary School,Lady Margaret Road,Ifield,,Crawley,RH11 0DU,Open,,,Special school,Community special school,1,0,0,2,11,Mixed,Does not apply,Not applicable
126163,West Sussex,938,7012,9387012,"Fordwater School, Chichester",Summersdale Road,,,Chichester,PO19 6PP,Open,,,Special school,Community special school,1,1,1,2,19,Mixed,Does not apply,Not applicable
126169,West Sussex,938,7021,9387021,Herons Dale School,Hawkins Crescent,,,Shoreham-by-Sea,BN43 6TN,Open,,,Special school,Community special school,1,0,0,4,11,Mixed,Does not apply,Not applicable
126170,West Sussex,938,7022,9387022,"Cornfield School, Littlehampton",Cornfield Close,,,Littlehampton,BN17 6HY,Open,,,Special school,Community special school,1,1,0,9,16,Boys,Does not apply,Not applicable
130842,West Sussex,938,8003,9388003,Greater Brighton Metropolitan College,Littlehampton Road,,,Worthing,BN12 6NU,Open,,,College,Further education,0,0,1,16,99,Mixed,Does not apply,Not applicable
130843,West Sussex,938,8004,9388004,Chichester College Group,Westgate Fields,,,Chichester,PO19 1SB,Open,,,College,Further education,0,0,1,16,99,Mixed,Does not apply,Not applicable
130845,West Sussex,938,8600,9388600,Worthing College,1 Sanditon Way,,,Worthing,BN14 9FD,Closed,,31-03-2019,College,Further education,0,0,1,16,99,Mixed,Does not apply,Not applicable
130847,West Sussex,938,8602,9388602,The College of Richard Collyer In Horsham,Hurst Road,,,Horsham,RH12 2EJ,Open,,,College,Further education,0,0,1,16,99,Mixed,Does not apply,Not applicable
131001,West Sussex,938,3366,9383366,Crawley Down Village CofE,Hophurst Drive,Crawley Down,,Crawley,RH10 4XA,Open,,,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Not applicable
131130,West Sussex,938,2249,9382249,Castlewood Primary School,Castlewood Road,Southwater,,Horsham,RH13 9US,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
131139,West Sussex,938,6255,9386255,Manor House School,Stane Street,Slinfold,,Horsham,RH13 0QX,Open,,,Special school,Other independent special school,1,1,1,7,18,Mixed,None,Not applicable
131504,West Sussex,938,6265,9386265,The Amicus School,The Coach House,Arundel Road,Fontwell,Arundel,BN18 0SX,Open,,,Special school,Other independent special school,1,1,0,5,16,Mixed,None,Not applicable
131518,West Sussex,938,2252,9382252,Summerlea Community Primary School,Windsor Drive,Rustington,,Littlehampton,BN16 3SW,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
131602,West Sussex,938,2254,9382254,Brook Infant School,Salterns Road,Maidenbower,,Crawley,RH10 7JE,Open,,,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable
131603,West Sussex,938,2255,9382255,Maidenbower Junior School,Harvest Road,Maidenbower,,Crawley,RH10 7RA,Open,,,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Not applicable
132069,West Sussex,938,6258,9386258,Apple Orchard School,Apple Orchard School,Five Oaks Road,Slinfold,Horsham,RH13 0RQ,Open,,,Special school,Other independent special school,0,1,1,12,18,Boys,None,Selective
133043,West Sussex,938,4900,9384900,Chichester High Schools Sixth Form,Kingsham Road,,,Chichester,PO19 8AE,Open,,,College,Sixth form centres,0,0,1,16,19,Mixed,None,Not applicable
133321,West Sussex,938,2259,9382259,"All Saints CofE Primary School, Horsham",Tylden Way,,,Horsham,RH12 5JB,Open,,,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Church of England,Not applicable
133967,West Sussex,938,3358,9383358,Langley Green Primary,Stagelands,,Langley Green,Crawley,RH11 7PF,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
133973,West Sussex,938,3364,9383364,Northgate Primary School,Green Lane,Northgate,,Crawley,RH10 8DX,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
134042,West Sussex,938,4003,9384003,Oriel High School,Matthews Drive,Maidenbower,,Crawley,RH10 7XW,Open,,,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Non-selective
134776,West Sussex,938,3365,9383365,Kingslea Primary School,Kings Road,,,Horsham,RH13 5PS,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
134791,West Sussex,938,3370,9383370,Buckingham Park Primary School,Buckingham Road,,,Shoreham-by-Sea,BN43 5UD,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
134896,West Sussex,938,3368,9383368,Sompting Village Primary School,White Styles Road,Sompting,,Lancing,BN15 0BU,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
135111,West Sussex,938,6272,9386272,My Choice School Arundel,2 Yeomans Nursery,Warningcamp,Arundel,West Sussex,BN18 9QY,Open,,,Special school,Other independent special school,0,1,0,11,16,Mixed,None,Not applicable
135180,West Sussex,938,6050,9386050,Springboard Education,55 South Street,Lancing,West Sussex,Lancing,BN15 8AN,Open,,,Special school,Other independent special school,1,1,1,5,18,Mixed,None,Not applicable
135607,West Sussex,938,3372,9383372,Bolnore Village Primary School,Updown Hill,Bolnore Village,,Haywards Heath,RH16 4GD,Open,,,Maintained school,Foundation school,1,0,0,4,11,Mixed,None,Not applicable
135691,West Sussex,938,6228,9386228,Seadown School,"Seadown House, 1a Farncombe Road",,,Worthing,BN11 2BE,Open,,,Special school,Other independent special school,1,1,0,6,16,Mixed,None,Non-selective
135744,West Sussex,938,6911,9386911,The Sir Robert Woodard Academy,Upper Boundstone Lane,,,Sompting,BN15 9QZ,Open,,,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Christian,Non-selective
135745,West Sussex,938,6912,9386912,The Littlehampton Academy,Fitzalan Road,,,Littlehampton,BN17 6FE,Open,,,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Christian,Non-selective
135760,West Sussex,938,6913,9386913,Midhurst Rother College,North Street,,,Midhurst,GU29 9DT,Open,,,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Does not apply,Non-selective
135813,West Sussex,938,3376,9383376,Billingshurst Primary School,Upper Station Road,,,Billingshurst,RH14 9RE,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
135814,West Sussex,938,7023,9387023,Ingfield Manor School,Ingfield Manor Drive,Five Oaks,,Billingshurst,RH14 9AX,Open,,,Special school,Non-maintained special school,1,1,1,3,19,Mixed,Does not apply,Not applicable
135930,West Sussex,938,6267,9386267,LVS Hassocks,London Road,Sayers Common,,Hassocks,BN6 9HT,Open,,,Special school,Other independent special school,1,1,1,8,19,Mixed,None,Not applicable
135962,West Sussex,938,6914,9386914,Shoreham Academy,Kingston Lane,,,Shoreham-by-Sea,BN43 6YT,Open,,,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Christian,Non-selective
136114,West Sussex,938,7013,9387013,Woodlands Meed,Chanctonbury Road,,,Burgess Hill,RH15 9EY,Open,,,Special school,Foundation special school,1,1,1,2,19,Mixed,Does not apply,Not applicable
136865,West Sussex,938,2134,9382134,Southwater Junior Academy,Worthing Road,Southwater,,Horsham,RH13 9JH,Open,,,Academy,Academy converter,1,0,0,7,11,Mixed,Does not apply,Not applicable
136866,West Sussex,938,2136,9382136,Southwater Infant Academy,Worthing Road,Southwater,,Horsham,RH13 9JH,Open,,,Academy,Academy converter,1,0,0,5,7,Mixed,Does not apply,Not applicable
137096,West Sussex,938,4004,9384004,"The Academy, Selsey",School Lane,Selsey,,Chichester,PO20 9EH,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Non-selective
137211,West Sussex,938,2001,9382001,Warden Park Primary Academy,New England Road,,,Haywards Heath,RH16 3JR,Open,,,Academy,Academy sponsor led,1,0,0,2,11,Mixed,None,Non-selective
137263,West Sussex,938,4029,9384029,Hazelwick School,Hazelwick School Close,Three Bridges,,Crawley,RH10 1SX,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,None,Non-selective
137370,West Sussex,938,2194,9382194,Medmerry Primary School,High Street,Selsey,,Chichester,PO20 0QJ,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
137416,West Sussex,938,4103,9384103,Warden Park Secondary Academy,Broad Street,Cuckfield,,Haywards Heath,RH17 5DP,Open,,,Academy,Academy converter,0,1,0,11,16,Mixed,Does not apply,Non-selective
137782,West Sussex,938,4005,9384005,The Regis School,Westloats Lane,Bognor Regis,,West Sussex,PO21 5LH,Open,,,Academy,Academy sponsor led,0,1,1,11,19,Mixed,None,Non-selective
137980,West Sussex,938,2007,9382007,Edward Bryant School,London Road,,,Bognor Regis,PO21 1BG,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
138049,West Sussex,938,2003,9382003,Tangmere Primary Academy,Bishops Road,Tangmere,,Chichester,PO20 2JB,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Not applicable
138050,West Sussex,938,2004,9382004,The Bewbush Academy,Dorsten Place,Bewbush,,Crawley,RH11 8XW,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,None,Not applicable
138071,West Sussex,938,2005,9382005,Seal Primary Academy,East Street,,,Selsey,PO20 0BN,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,None,Not applicable
138402,West Sussex,938,2006,9382006,Portfield Primary Academy,St James Road,Chichester,,West Sussex,PO19 7HA,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Not applicable
138413,West Sussex,938,2016,9382016,Southway Primary School,South Way,,,Bognor Regis,PO21 5EZ,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Not applicable
138453,West Sussex,938,2017,9382017,Broadfield Primary Academy,Vulcan Close,Broadfield,,Crawley,RH11 9PD,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Not applicable
138492,West Sussex,938,5200,9385200,Greenway Academy,Greenway,,,Horsham,RH12 2JS,Open,,,Academy,Academy converter,1,0,0,7,11,Mixed,None,Not applicable
138618,West Sussex,938,2250,9382250,The Oaks Primary School & Nursery,Loppets Road,Tilgate,,Crawley,RH10 5DP,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
138620,West Sussex,938,4044,9384044,Thomas Bennett Community College,Ashdown Drive,Tilgate,,Crawley,RH10 5AD,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,Does not apply,Non-selective
138645,West Sussex,938,2139,9382139,Seymour Primary School,Seymour Road,Broadfield,,Crawley,RH11 9ES,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
138648,West Sussex,938,3363,9383363,Hilltop Primary School,Ditchling Hill,Southgate West,,Crawley,RH11 8QL,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
139109,West Sussex,938,4110,9384110,Worthing High School,South Farm Road,,,Worthing,BN14 7AR,Open,,,Academy,Academy converter,0,1,0,11,16,Mixed,None,Non-selective
139478,West Sussex,938,2053,9382053,Rustington Community Primary School,North Lane,Rustington,,Littlehampton,BN16 3PW,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
139668,West Sussex,938,4006,9384006,Chichester Free School,Hunston Road,,,Chichester,PO20 1NP,Open,,,Academy,Free schools,1,1,1,4,19,Mixed,None,Non-selective
139674,West Sussex,938,2019,9382019,Eastbrook Primary Academy,Manor Hall Road,Southwick,,Brighton,BN42 4NF,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Not applicable
139879,West Sussex,938,3354,9383354,St Lawrence CofE Primary School,Trinity Road,Hurstpierpoint,,Hassocks,BN6 9UY,Open,,,Academy,Academy converter,1,0,0,5,11,Mixed,Church of England,Not applicable
139958,West Sussex,938,2020,9382020,The Mill Primary Academy,Ifield Drive,Ifield,,Crawley,RH11 0EL,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Not applicable
140048,West Sussex,938,2188,9382188,Downview Primary School,Wroxham Way,Felpham,,Bognor Regis,PO22 8ER,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
140089,West Sussex,938,3374,9383374,River Beach Primary School,York Road,,,Littlehampton,BN17 6EW,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
140105,West Sussex,938,4001,9384001,Chichester High School,Kingsham Road,,,Chichester,PO19 8EB,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,Does not apply
140199,West Sussex,938,4007,9384007,Ormiston Six Villages Academy,Lime Avenue,Westergate,,Chichester,PO20 3UE,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Non-selective
140424,West Sussex,938,4008,9384008,Bohunt School Worthing,65a Broadwater Road,,,Worthing,BN14 8AH,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply
140472,West Sussex,938,4604,9384604,"Bishop Luffa School, Chichester",Westgate,,,Chichester,PO19 3HP,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,Church of England,Non-selective
140651,West Sussex,938,2021,9382021,Forge Wood Primary School,Somerley Drive,,,Crawley,RH10 3SW,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,None,Not applicable
140713,West Sussex,938,4065,9384065,Durrington High School,The Boulevard,,,Worthing,BN13 1JX,Open,,,Academy,Academy converter,0,1,0,11,16,Mixed,Does not apply,Non-selective
140723,West Sussex,938,2212,9382212,Harlands Primary School,Penland Road,,,Haywards Heath,RH16 1PJ,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
140794,West Sussex,938,3375,9383375,White Meadows Primary Academy,Whitelea Road,Wick,,Littlehampton,BN17 7JL,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
141038,West Sussex,938,4011,9384011,The Gatwick School,23 Gatwick Road,,,Crawley,RH10 9TP,Open,,,Academy,Free schools,1,1,0,4,16,Mixed,None
141181,West Sussex,938,2023,9382023,Kingsham Primary School,Hay Road,,,Chichester,PO19 8BN,Open,,,Academy,Academy sponsor led,1,0,0,5,11,Mixed,Does not apply,Not applicable
141265,West Sussex,938,2210,9382210,Halsford Park Primary School,Manor Road,,,East Grinstead,RH19 1LR,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
141266,West Sussex,938,2108,9382108,Fernhurst Primary School,Haslemere Road,Fernhurst,,Haslemere,GU27 3EA,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
141267,West Sussex,938,2247,9382247,"Baldwins Hill Primary School, East Grinstead",Lowdells Lane,Baldwins Hill,,East Grinstead,RH19 2AP,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
141348,West Sussex,938,2026,9382026,The Globe Primary Academy,Irene Avenue,,,Lancing,BN15 9NZ,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Not applicable
141600,West Sussex,938,2008,9382008,Rose Green Junior School,Raleigh Road,Rose Green,,Bognor Regis,PO21 3NA,Open,,,Academy,Academy converter,1,0,0,7,11,Mixed,Does not apply,Not applicable
141892,West Sussex,938,2221,9382221,Blackthorns Community Primary Academy,3 Blackthorns Close,Lindfield,,Haywards Heath,RH16 2UA,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
